ID,NEXT,MPHON,FEAT,BASEF,FLAG
20,"SgNom SgPtvTA SgIllHVn SgIllSeen SgCase PlNom PlGenIden PlPtvItA PlIllIhin PlIllIsiin PlCase",,,,
,"! 21 rosé clou gay cowboy",,,,
,"! 22 parfait tournedso show",,,,
,"! 23 tiili riihi tuli moni",,,,
N23,23,,N,,
23,"SgNom SgPtvTA SgIllVn SgCase PlNom PlGenIen PlPtvIA PlIllIin PlCase",,,,
,"! 24 uni ruuhi hiili meri hiiri kuusi",,,,
N24,24,,N,,
24,"SgNom SgPtvTA SgIllVn SgCase PlNom PlGenIen PlGenTen PlPtvIA PlIllIin PlCase",,,,
,"! 25 toimi liemi lumi",,,,
N25,25,,N,,
A25,25,,"A POS",,
25,"SgNom SgPtvA SgIllVn SgCase PlNom PlGenIen PlPtvIA PlIllIin PlCase",m{eiØ},,m{eiØ},
25,"SgPtvTA PlGenTen",n,,m{eiØ},
,"! 26 pieni kieli veri kuori jousi",,,,
A26,26,,"A POS",,
A26,16,,"A CMP",,
N26,26,,N,,
26,"SgNom SgPtvTA SgIllVn SgCase PlNom PlGenTen PlGenIen PlPtvIA PlIllIin PlCase",,,,
,"! 27 käsi susi täysi",,,,
N27,27,,N,,
A27,27,,"A POS",,
A27,16,{td}{eiØ},"A CMP",s{eiØ},
27,"SgPtvTA SgIllVn SgCase PlNom PlGenTen",{td}{eiØ},,s{eiØ},
27,"SgNom PlGenIen PlPtvIA PlIllIin PlCase",s{eiØ},,s{eiØ},
,"! jälsi kansi varsi",,,,
N28lsi,"SgPtvTA SgIllVn SgCase PlNom PlGenTen",l{tl}{eiØ},N,ls{eiØ},
N28lsi,"SgNom PlGenIen PlPtvIA PlIllIin PlCase",ls{eiØ},N,ls{eiØ},
,,,,,
,"! 28 kansi",,,,
N28nsi,"SgPtvTA SgIllVn SgCase PlNom PlGenTen",n{tn}{eiØ},N,ns{eiØ},
N28nsi,"SgNom PlGenIen PlPtvIA PlIllIin PlCase",ns{eiØ},N,ns{eiØ},
,"! 28 varsi",,,,
N28rsi,"SgPtvTA SgIllVn SgCase PlNom PlGenTen",r{tr}{eiØ},N,rs{eiØ},
